,Date,Unix,Ticker,DE Ratio,Price,SP500
63,2008-01-23 23:41:45,1201149705.0,abt,0.784,57.97,1338.599976
64,2008-04-28 03:46:55,1209368815.0,abt,0.687,51.28,1396.369995
65,2008-10-23 21:57:42,1224813462.0,abt,0.732,55.02,908.109985
66,2008-12-25 05:30:56,1230201056.0,abt,0.546,52.65,871.630005
67,2004-08-16 22:53:27,1092711207.0,ace,0.26,39.1,1079.339966
68,2004-10-10 11:27:42,1097422062.0,ace,0.26,41.04,1130.650024
69,2005-01-13 13:27:29,1105640849.0,ace,0.21,42.76,1177.449951
70,2007-02-20 18:32:05,1172014325.0,ace,0.171,58.6,1459.680054
71,2007-04-05 15:54:06,1175802846.0,ace,0.171,57.24,1443.76001
72,2008-01-23 21:48:58,1201142938.0,ace,0.154,59.98,1338.599976
73,2003-12-15 23:12:24,1071547944.0,aci,1.074,30.78,1068.040039
74,2005-01-24 04:33:07,1106559187.0,aci,1.18,34.52,1163.75
75,2005-02-05 03:36:51,1107592611.0,aci,1.18,38.4,1193.189941
76,2005-03-30 06:50:28,1112183428.0,aci,0.936,41.15,1181.410034
77,2006-05-24 04:17:01,1148458621.0,aci,0.854,46.39,1258.569946
78,2007-03-11 21:41:07,1173663667.0,aci,0.86,30.08,1401.890015
79,2007-04-07 18:52:27,1175986347.0,aci,0.86,33.93,1439.369995
80,2008-03-02 17:50:27,1204498227.0,aci,0.851,51.09,1367.680054
81,2008-06-05 02:23:56,1212647036.0,aci,0.899,67.52,1404.050049
82,2008-10-08 20:51:28,1223513488.0,aci,0.772,25.11,984.940002
83,2008-12-05 05:35:57,1228473357.0,aci,0.767,11.93,876.070007
84,2003-11-08 10:24:47,1068305087.0,acn,0.076,25.05,1051.810059
85,2004-12-10 06:26:24,1102677984.0,acn,0.023,26.2,1188.0
86,2005-02-10 03:10:56,1108023056.0,acn,0.023,25.51,1197.01001
87,2005-04-04 05:07:40,1112605660.0,acn,0.023,24.44,1176.119995
88,2005-09-04 02:06:58,1125814018.0,acn,0.04,25.31,1221.589966
89,2006-06-03 23:44:14,1149392654.0,acn,0.045,27.89,1270.089966
90,2006-08-22 00:50:41,1156222241.0,acn,0.034,28.57,1298.819946
91,2006-08-22 06:44:05,1156243445.0,acn,0.034,28.57,1298.819946
92,2006-08-27 03:22:58,1156663378.0,acn,0.034,28.36,1296.060059
93,2006-11-02 16:40:55,1162503655.0,acn,0.027,32.96,1367.339966
94,2006-11-11 01:01:42,1163224902.0,acn,0.027,33.87,1385.719971
95,2006-12-03 00:17:12,1165123032.0,acn,0.027,33.81,1400.630005
96,2007-03-14 19:10:39,1173913839.0,acn,0.018,35.39,1387.170044
97,2007-05-05 07:47:14,1178365634.0,acn,0.015,39.1,1495.920044
98,2007-06-05 04:17:34,1181031454.0,acn,0.015,41.24,1530.949951
99,2007-07-06 07:06:36,1183719996.0,acn,0.015,42.81,1530.439941
100,2008-04-07 01:42:51,1207546971.0,acn,0.004,36.77,1372.540039
101,2008-10-18 23:21:07,1224386467.0,acn,0.003,31.4,907.840027
102,2008-12-02 16:28:13,1228253293.0,acn,0.003,29.98,848.809998
103,2008-12-21 20:10:46,1229908246.0,acn,0.001,32.21,885.280029
104,2004-01-25 05:32:05,1075026725.0,adbe,0.0,38.04,1143.939941
105,2004-08-21 23:10:00,1093144200.0,adbe,0.0,46.09,1095.170044
106,2004-11-12 17:19:37,1100297977.0,adbe,0.0,58.1,1184.170044
107,2005-02-07 16:20:07,1107811207.0,adbe,0.0,63.67,1201.719971
108,2005-04-05 04:12:22,1112688742.0,adbe,0.0,66.58,1181.390015
109,2005-08-31 10:51:30,1125499890.0,adbe,0.0,27.12,1220.329956
110,2008-12-04 14:30:57,1228419057.0,adbe,0.08,22.54,845.219971
111,2008-12-05 00:15:55,1228454155.0,adbe,0.08,20.44,876.070007
112,2008-12-17 11:42:55,1229532175.0,adbe,0.08,22.32,904.419983
113,2008-12-20 21:49:14,1229827754.0,adbe,0.079,22.13,904.419983
114,2004-01-20 06:29:18,1074598158.0,adi,0.0,50.5,1138.77002
115,2004-05-12 18:46:27,1084401987.0,adi,0.0,45.04,1097.280029
116,2004-06-22 09:09:13,1087909753.0,adi,0.0,45.03,1134.410034
117,2004-08-10 02:07:28,1092118048.0,adi,0.0,35.92,1079.040039
118,2004-11-11 09:56:15,1100184975.0,adi,0.0,38.5,1173.47998
119,2005-01-24 03:34:28,1106555668.0,adi,0.0,34.47,1163.75
120,2005-03-17 01:05:45,1111039545.0,adi,0.0,35.92,1190.209961
121,2005-04-08 23:33:20,1113017600.0,adi,0.0,35.67,1181.199951
122,2005-09-07 23:00:53,1126148453.0,adi,0.0,36.88,1236.359985
123,2005-10-31 08:19:48,1130764788.0,adi,0.0,34.61,1207.01001
124,2003-11-12 17:41:28,1068676888.0,adm,0.733,14.48,1058.530029
125,2004-01-31 04:11:22,1075540282.0,adm,0.703,15.66,1128.47998
126,2004-04-14 16:44:25,1081975465.0,adm,0.789,16.81,1128.170044
127,2004-06-19 13:33:48,1087666428.0,adm,0.848,16.28,1133.560059
128,2004-11-30 07:08:52,1101816532.0,adm,0.613,21.23,1173.819946
129,2005-01-26 00:58:06,1106719086.0,adm,0.613,22.65,1174.069946
130,2005-02-08 21:21:16,1107915676.0,adm,0.613,23.71,1202.300049
131,2005-02-14 20:39:46,1108431586.0,adm,0.528,24.5,1206.140015
132,2007-02-20 08:05:08,1171976708.0,adm,0.541,35.88,1459.680054
133,2007-03-07 08:11:55,1173273115.0,adm,0.541,32.96,1391.969971
134,2007-04-09 12:40:37,1176136837.0,adm,0.541,37.02,1444.609985
135,2007-06-18 03:24:32,1182151472.0,adm,0.597,34.57,1531.050049
136,2007-06-19 05:10:54,1182244254.0,adm,0.597,34.75,1533.699951
137,2007-10-12 05:57:34,1192183054.0,adm,0.47,34.9,1561.800049
138,2008-01-23 23:14:44,1201148084.0,adm,0.62,40.85,1338.599976
139,2009-01-09 16:47:55,1231537675.0,adm,0.628,27.94,890.349976
140,2004-05-12 18:03:39,1084399419.0,adp,0.015,45.7,1097.280029
141,2006-05-29 06:22:46,1148898166.0,adp,0.012,45.98,1280.160034
142,2006-06-27 09:26:37,1151414797.0,adp,0.012,44.48,1239.199951
143,2007-02-20 18:32:39,1172014359.0,adp,0.012,50.7,1459.680054
144,2007-04-28 09:46:50,1177768010.0,adp,0.012,45.17,1495.420044
145,2007-05-28 15:46:58,1180381618.0,adp,0.007,49.23,1515.72998
146,2007-06-30 05:05:33,1183194333.0,adp,0.007,48.47,1506.339966
147,2007-10-22 09:12:40,1193058760.0,adp,0.008,47.52,1506.329956
148,2008-01-23 19:35:35,1201134935.0,adp,0.078,38.56,1338.599976
149,2008-12-07 07:53:01,1228654381.0,adp,0.288,37.59,845.219971
150,2003-10-03 16:48:40,1065214120.0,adsk,0.0,18.44,1029.849976
151,2004-06-20 07:36:21,1087731381.0,adsk,0.0,39.4,1132.050049
152,2004-08-03 23:39:21,1091590761.0,adsk,0.0,39.96,1099.689941
153,2005-02-25 15:10:44,1109362244.0,adsk,0.0,29.83,1211.369995
154,2005-04-19 09:08:08,1113916088.0,adsk,0.0,31.69,1152.780029
155,2004-09-24 17:33:50,1096061630.0,aee,0.804,46.07,1110.109985
156,2004-11-02 15:30:15,1099427415.0,aee,0.804,48.01,1130.560059
157,2005-03-05 21:55:16,1110077716.0,aee,0.974,51.83,1210.079956
158,2005-12-16 06:43:01,1134733381.0,aee,0.863,52.32,1267.319946
159,2006-01-10 11:29:29,1136910569.0,aee,0.863,51.66,1289.689941
160,2007-02-20 06:12:12,1171969932.0,aee,0.965,53.51,1459.680054
